marca	modelo	potencia	ano	cilind	transm	tracao	cons.cid	cons.aestrada	combus	tipo
audi	a4	1.8	1999	4	auto(l5)	f	7.65	12.325	p	compact
audi	a4	1.8	1999	4	manual(m5)	f	8.925	12.325	p	compact
audi	a4	2	2008	4	manual(m6)	f	8.5	13.175	p	compact
audi	a4	2	2008	4	auto(av)	f	8.925	12.75	p	compact
audi	a4	2.8	1999	6	auto(l5)	f	6.8	11.05	p	compact
audi	a4	2.8	1999	6	manual(m5)	f	7.65	11.05	p	compact
audi	a4	3.1	2008	6	auto(av)	f	7.65	11.475	p	compact
audi	a4 quattro	1.8	1999	4	manual(m5)	4	7.65	11.05	p	compact
audi	a4 quattro	1.8	1999	4	auto(l5)	4	6.8	10.625	p	compact
audi	a4 quattro	2	2008	4	manual(m6)	4	8.5	11.9	p	compact
audi	a4 quattro	2	2008	4	auto(s6)	4	8.075	11.475	p	compact
audi	a4 quattro	2.8	1999	6	auto(l5)	4	6.375	10.625	p	compact
audi	a4 quattro	2.8	1999	6	manual(m5)	4	7.225	10.625	p	compact
audi	a4 quattro	3.1	2008	6	auto(s6)	4	7.225	10.625	p	compact
audi	a4 quattro	3.1	2008	6	manual(m6)	4	6.375	10.625	p	compact
audi	a6 quattro	2.8	1999	6	auto(l5)	4	6.375	10.2	p	midsize
audi	a6 quattro	3.1	2008	6	auto(s6)	4	7.225	10.625	p	midsize
audi	a6 quattro	4.2	2008	8	auto(s6)	4	6.8	9.775	p	midsize
chevrolet	c1500 suburban 2wd	5.3	2008	8	auto(l4)	r	5.95	8.5	r	suv
chevrolet	c1500 suburban 2wd	5.3	2008	8	auto(l4)	r	4.675	6.375	e	suv
chevrolet	c1500 suburban 2wd	5.3	2008	8	auto(l4)	r	5.95	8.5	r	suv
chevrolet	c1500 suburban 2wd	5.7	1999	8	auto(l4)	r	5.525	7.225	r	suv
chevrolet	c1500 suburban 2wd	6	2008	8	auto(l4)	r	5.1	7.225	r	suv
chevrolet	corvette	5.7	1999	8	manual(m6)	r	6.8	11.05	p	2seater
chevrolet	corvette	5.7	1999	8	auto(l4)	r	6.375	9.775	p	2seater
chevrolet	corvette	6.2	2008	8	manual(m6)	r	6.8	11.05	p	2seater
chevrolet	corvette	6.2	2008	8	auto(s6)	r	6.375	10.625	p	2seater
chevrolet	corvette	7	2008	8	manual(m6)	r	6.375	10.2	p	2seater
chevrolet	k1500 tahoe 4wd	5.3	2008	8	auto(l4)	4	5.95	8.075	r	suv
chevrolet	k1500 tahoe 4wd	5.3	2008	8	auto(l4)	4	4.675	5.95	e	suv
chevrolet	k1500 tahoe 4wd	5.7	1999	8	auto(l4)	4	4.675	6.375	r	suv
chevrolet	k1500 tahoe 4wd	6.5	1999	8	auto(l4)	4	5.95	7.225	d	suv
chevrolet	malibu	2.4	1999	4	auto(l4)	f	8.075	11.475	r	midsize
chevrolet	malibu	2.4	2008	4	auto(l4)	f	9.35	12.75	r	midsize
chevrolet	malibu	3.1	1999	6	auto(l4)	f	7.65	11.05	r	midsize
chevrolet	malibu	3.5	2008	6	auto(l4)	f	7.65	12.325	r	midsize
chevrolet	malibu	3.6	2008	6	auto(s6)	f	7.225	11.05	r	midsize
dodge	caravan 2wd	2.4	1999	4	auto(l3)	f	7.65	10.2	r	minivan
dodge	caravan 2wd	3	1999	6	auto(l4)	f	7.225	10.2	r	minivan
dodge	caravan 2wd	3.3	1999	6	auto(l4)	f	6.8	9.35	r	minivan
dodge	caravan 2wd	3.3	1999	6	auto(l4)	f	6.8	9.35	r	minivan
dodge	caravan 2wd	3.3	2008	6	auto(l4)	f	7.225	10.2	r	minivan
dodge	caravan 2wd	3.3	2008	6	auto(l4)	f	7.225	10.2	r	minivan
dodge	caravan 2wd	3.3	2008	6	auto(l4)	f	4.675	7.225	e	minivan
dodge	caravan 2wd	3.8	1999	6	auto(l4)	f	6.375	9.35	r	minivan
dodge	caravan 2wd	3.8	1999	6	auto(l4)	f	6.375	8.925	r	minivan
dodge	caravan 2wd	3.8	2008	6	auto(l6)	f	6.8	9.775	r	minivan
dodge	caravan 2wd	4	2008	6	auto(l6)	f	6.8	9.775	r	minivan
dodge	dakota pickup 4wd	3.7	2008	6	manual(m6)	4	6.375	8.075	r	pickup
dodge	dakota pickup 4wd	3.7	2008	6	auto(l4)	4	5.95	7.65	r	pickup
dodge	dakota pickup 4wd	3.9	1999	6	auto(l4)	4	5.525	7.225	r	pickup
dodge	dakota pickup 4wd	3.9	1999	6	manual(m5)	4	5.95	7.225	r	pickup
dodge	dakota pickup 4wd	4.7	2008	8	auto(l5)	4	5.95	8.075	r	pickup
dodge	dakota pickup 4wd	4.7	2008	8	auto(l5)	4	5.95	8.075	r	pickup
dodge	dakota pickup 4wd	4.7	2008	8	auto(l5)	4	3.825	5.1	e	pickup
dodge	dakota pickup 4wd	5.2	1999	8	manual(m5)	4	4.675	7.225	r	pickup
dodge	dakota pickup 4wd	5.2	1999	8	auto(l4)	4	4.675	6.375	r	pickup
dodge	durango 4wd	3.9	1999	6	auto(l4)	4	5.525	7.225	r	suv
dodge	durango 4wd	4.7	2008	8	auto(l5)	4	5.525	7.225	r	suv
dodge	durango 4wd	4.7	2008	8	auto(l5)	4	3.825	5.1	e	suv
dodge	durango 4wd	4.7	2008	8	auto(l5)	4	5.525	7.225	r	suv
dodge	durango 4wd	5.2	1999	8	auto(l4)	4	4.675	6.8	r	suv
dodge	durango 4wd	5.7	2008	8	auto(l5)	4	5.525	7.65	r	suv
dodge	durango 4wd	5.9	1999	8	auto(l4)	4	4.675	6.375	r	suv
dodge	ram 1500 pickup 4wd	4.7	2008	8	manual(m6)	4	5.1	6.8	r	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	auto(l5)	4	3.825	5.1	e	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	auto(l5)	4	5.525	7.225	r	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	auto(l5)	4	5.525	7.225	r	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	manual(m6)	4	5.1	6.8	r	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	manual(m6)	4	3.825	5.1	e	pickup
dodge	ram 1500 pickup 4wd	5.2	1999	8	auto(l4)	4	4.675	6.375	r	pickup
dodge	ram 1500 pickup 4wd	5.2	1999	8	manual(m5)	4	4.675	6.8	r	pickup
dodge	ram 1500 pickup 4wd	5.7	2008	8	auto(l5)	4	5.525	7.225	r	pickup
dodge	ram 1500 pickup 4wd	5.9	1999	8	auto(l4)	4	4.675	6.375	r	pickup
ford	expedition 2wd	4.6	1999	8	auto(l4)	r	4.675	7.225	r	suv
ford	expedition 2wd	5.4	1999	8	auto(l4)	r	4.675	7.225	r	suv
ford	expedition 2wd	5.4	2008	8	auto(l6)	r	5.1	7.65	r	suv
ford	explorer 4wd	4	1999	6	auto(l5)	4	5.95	7.225	r	suv
ford	explorer 4wd	4	1999	6	manual(m5)	4	6.375	8.075	r	suv
ford	explorer 4wd	4	1999	6	auto(l5)	4	5.95	7.225	r	suv
ford	explorer 4wd	4	2008	6	auto(l5)	4	5.525	8.075	r	suv
ford	explorer 4wd	4.6	2008	8	auto(l6)	4	5.525	8.075	r	suv
ford	explorer 4wd	5	1999	8	auto(l4)	4	5.525	7.225	r	suv
ford	f150 pickup 4wd	4.2	1999	6	auto(l4)	4	5.95	7.225	r	pickup
ford	f150 pickup 4wd	4.2	1999	6	manual(m5)	4	5.95	7.225	r	pickup
ford	f150 pickup 4wd	4.6	1999	8	manual(m5)	4	5.525	6.8	r	pickup
ford	f150 pickup 4wd	4.6	1999	8	auto(l4)	4	5.525	6.8	r	pickup
ford	f150 pickup 4wd	4.6	2008	8	auto(l4)	4	5.525	7.225	r	pickup
ford	f150 pickup 4wd	5.4	1999	8	auto(l4)	4	4.675	6.375	r	pickup
ford	f150 pickup 4wd	5.4	2008	8	auto(l4)	4	5.525	7.225	r	pickup
ford	mustang	3.8	1999	6	manual(m5)	r	7.65	11.05	r	subcompact
ford	mustang	3.8	1999	6	auto(l4)	r	7.65	10.625	r	subcompact
